Day,Coronavirus: (United States)
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,3
1/22/20,3
1/23/20,4
1/24/20,8
1/25/20,9
1/26/20,10
1/27/20,11
1/28/20,12
1/29/20,11
1/30/20,12
1/31/20,12
2/1/20,10
2/2/20,8
2/3/20,7
2/4/20,6
2/5/20,6
2/6/20,6
2/7/20,7
2/8/20,6
2/9/20,5
2/10/20,5
2/11/20,6
2/12/20,5
2/13/20,6
2/14/20,5
2/15/20,4
2/16/20,4
2/17/20,4
2/18/20,4
2/19/20,4
2/20/20,3
2/21/20,3
2/22/20,4
2/23/20,5
2/24/20,7
2/25/20,11
2/26/20,17
2/27/20,20
2/28/20,19
2/29/20,21
3/1/20,18
3/2/20,27
3/3/20,26
3/4/20,25
3/5/20,30
3/6/20,31
3/7/20,31
3/8/20,30
3/9/20,38
3/10/20,46
3/11/20,58
3/12/20,100
3/13/20,92
3/14/20,81
3/15/20,97
3/16/20,96
3/17/20,86
3/18/20,79
3/19/20,78
3/20/20,77
3/21/20,74
3/22/20,78
3/23/20,69
3/24/20,63
3/25/20,60
3/26/20,60
3/27/20,59
3/28/20,56
3/29/20,56
3/30/20,50
3/31/20,47
4/1/20,46
4/2/20,45
4/3/20,54
4/4/20,57
4/5/20,56
4/6/20,55
4/7/20,53
4/8/20,48
4/9/20,46
4/10/20,43
4/11/20,34
4/12/20,29
4/13/20,39
4/14/20,41
4/15/20,40
4/16/20,38
4/17/20,37
4/18/20,39
4/19/20,28
4/20/20,33
4/21/20,36
4/22/20,25
4/23/20,31
4/24/20,33
4/25/20,23
4/26/20,19
4/27/20,20
4/28/20,18
4/29/20,18
4/30/20,16
5/1/20,16
5/2/20,16
5/3/20,17
5/4/20,17
5/5/20,16
5/6/20,15
5/7/20,15
5/8/20,14
5/9/20,14
5/10/20,14
5/11/20,15
5/12/20,14