,AWR,TGT,WMT
2019-12-23 00:00:00-05:00,85.55,128.35,119.03
2019-12-24 00:00:00-05:00,86.15,128.46,119.52
2019-12-26 00:00:00-05:00,86.45,128.9,119.55
2019-12-27 00:00:00-05:00,86.91,129.19,119.57
2019-12-30 00:00:00-05:00,87.33,128.9,119.42
2019-12-31 00:00:00-05:00,86.62,128.17,118.79
2020-01-02 00:00:00-05:00,85.83,126.05,118.94
2020-01-03 00:00:00-05:00,86.51,124.73,117.86
2020-01-06 00:00:00-05:00,84.93,123.57,117.65
2020-01-07 00:00:00-05:00,84.22,123.77,116.53
2020-01-08 00:00:00-05:00,83.61,123.4,116.18
2020-01-09 00:00:00-05:00,83.9,123.49,117.36
2020-01-10 00:00:00-05:00,84.02,124.73,116.38
2020-01-13 00:00:00-05:00,84.87,123.885,115.86
2020-01-14 00:00:00-05:00,84.3,125.25,116.17
2020-01-15 00:00:00-05:00,85.4,117.0,115.28
2020-01-16 00:00:00-05:00,86.76,116.34,115.87
2020-01-17 00:00:00-05:00,87.29,116.91,114.93
2020-01-21 00:00:00-05:00,88.62,114.02,115.59
2020-01-22 00:00:00-05:00,89.23,113.9389,116.11
2020-01-23 00:00:00-05:00,89.82,115.52,115.82
2020-01-24 00:00:00-05:00,90.07,114.32,114.37
2020-01-27 00:00:00-05:00,89.55,115.78,115.84
2020-01-28 00:00:00-05:00,89.97,115.45,116.58
2020-01-29 00:00:00-05:00,90.4,114.27,115.91
2020-01-30 00:00:00-05:00,90.75,114.71,116.57
2020-01-31 00:00:00-05:00,88.51,110.73,114.46
2020-02-03 00:00:00-05:00,89.33,112.5,114.26
2020-02-04 00:00:00-05:00,88.54,113.26,115.27
2020-02-05 00:00:00-05:00,89.17,115.54,116.83
2020-02-06 00:00:00-05:00,89.83,115.14,116.295
2020-02-07 00:00:00-05:00,90.29,115.61,116.45
2020-02-10 00:00:00-05:00,91.09,117.0,115.27
2020-02-11 00:00:00-05:00,91.05,116.71,115.4
2020-02-12 00:00:00-05:00,91.57,118.11,115.84
2020-02-13 00:00:00-05:00,92.53,118.285,117.46
2020-02-14 00:00:00-05:00,93.83,116.62,117.88
2020-02-18 00:00:00-05:00,93.67,117.825,119.66
2020-02-19 00:00:00-05:00,91.49,117.4,117.68
2020-02-20 00:00:00-05:00,90.16,118.25,117.68
2020-02-21 00:00:00-05:00,90.1,117.0,118.59
2020-02-24 00:00:00-05:00,89.28,113.83,116.34
2020-02-25 00:00:00-05:00,87.64,111.75,114.42
2020-02-26 00:00:00-05:00,87.3,110.66,113.79
2020-02-27 00:00:00-05:00,81.95,105.57,110.36
2020-02-28 00:00:00-05:00,76.67,103.12,107.77
2020-03-02 00:00:00-05:00,80.49,109.08,115.94
2020-03-03 00:00:00-05:00,81.07,105.84,112.91
2020-03-04 00:00:00-05:00,87.22,107.79,116.76
2020-03-05 00:00:00-05:00,87.1,105.99,115.91
2020-03-06 00:00:00-05:00,87.71,105.95,117.25
2020-03-09 00:00:00-04:00,82.08,103.99,117.1
2020-03-10 00:00:00-04:00,83.45,108.33,119.82
2020-03-11 00:00:00-04:00,79.69,105.57,114.42
2020-03-12 00:00:00-04:00,71.88,92.59,104.05
2020-03-13 00:00:00-04:00,76.7201,100.92,114.09
2020-03-16 00:00:00-04:00,65.63,93.76,106.75
2020-03-17 00:00:00-04:00,78.5,103.49,119.185
2020-03-18 00:00:00-04:00,93.04,102.82,122.61
2020-03-19 00:00:00-04:00,92.4,100.5,119.39
2020-03-20 00:00:00-04:00,86.36,97.34,113.95
2020-03-23 00:00:00-04:00,75.38,96.72,114.29
2020-03-24 00:00:00-04:00,79.59,100.56,114.99
2020-03-25 00:00:00-04:00,76.8,90.93,109.34
2020-03-26 00:00:00-04:00,80.72,96.07,109.59
2020-03-27 00:00:00-04:00,80.71,94.57,109.58
2020-03-30 00:00:00-04:00,84.74,95.92,115.18
2020-03-31 00:00:00-04:00,81.31,92.9348,113.56
2020-04-01 00:00:00-04:00,74.78,95.2,114.14
2020-04-02 00:00:00-04:00,77.47,94.37,118.63
2020-04-03 00:00:00-04:00,78.62,92.57,119.46
2020-04-06 00:00:00-04:00,84.85,97.51,125.86
2020-04-07 00:00:00-04:00,80.11,98.27,122.0
2020-04-08 00:00:00-04:00,83.85,104.57,121.83
2020-04-09 00:00:00-04:00,87.74,104.2,121.79
2020-04-13 00:00:00-04:00,86.42,104.68,125.33
2020-04-14 00:00:00-04:00,90.08,108.38,128.99
2020-04-15 00:00:00-04:00,86.1,106.29,128.75
2020-04-16 00:00:00-04:00,86.2,109.38,132.28
2020-04-17 00:00:00-04:00,89.15,113.43,132.11
2020-04-20 00:00:00-04:00,83.18,108.99,129.82
2020-04-21 00:00:00-04:00,82.17,106.9,129.13
2020-04-22 00:00:00-04:00,84.03,107.17,131.96
2020-04-23 00:00:00-04:00,81.74,103.87,128.54
2020-04-24 00:00:00-04:00,82.26,107.82,129.43
2020-04-27 00:00:00-04:00,82.0,109.85,128.22
2020-04-28 00:00:00-04:00,82.87,112.0,128.01
2020-04-29 00:00:00-04:00,83.77,112.12,123.63
2020-04-30 00:00:00-04:00,79.3,109.73,121.54
2020-05-01 00:00:00-04:00,77.77,108.23,122.96
2020-05-04 00:00:00-04:00,76.89,111.74,123.75
2020-05-05 00:00:00-04:00,77.96,111.77,124.74
2020-05-06 00:00:00-04:00,74.25,113.58,123.35
2020-05-07 00:00:00-04:00,74.04,113.35,121.9
2020-05-08 00:00:00-04:00,75.68,115.84,122.99
2020-05-11 00:00:00-04:00,76.76,120.15,123.67
2020-05-12 00:00:00-04:00,75.32,119.4,123.8
2020-05-13 00:00:00-04:00,75.95,119.07,123.69
2020-05-14 00:00:00-04:00,75.66,119.94,123.44
2020-05-15 00:00:00-04:00,74.96,121.01,125.76
